iter	Passed	Remaining
0	27	19169
1	52	18441
2	77	18078
3	102	17786
4	128	17834
5	153	17729
6	178	17703
7	202	17480
8	226	17389
9	258	17825
10	280	17597
11	306	17575
12	333	17635
13	362	17750
14	385	17627
15	413	17672
16	437	17588
17	461	17487
18	488	17522
19	516	17552
20	542	17531
21	568	17525
22	595	17523
23	621	17517
24	647	17495
25	676	17534
26	710	17709
27	737	17699
28	760	17604
29	784	17525
30	808	17457
31	832	17377
32	858	17349
33	884	17332
34	910	17291
35	937	17298
36	964	17278
37	990	17263
38	1016	17223
39	1044	17230
40	1069	17195
41	1094	17143
42	1118	17097
43	1144	17066
44	1172	17063
45	1197	17021
46	1224	17006
47	1249	16967
48	1273	16913
49	1298	16885
50	1326	16875
51	1349	16821
52	1375	16791
53	1404	16803
54	1429	16768
55	1459	16787
56	1484	16741
57	1511	16728
58	1536	16691
59	1564	16683
60	1588	16645
61	1618	16651
62	1641	16596
63	1666	16559
64	1699	16606
65	1723	16558
66	1750	16538
67	1778	16527
68	1803	16495
69	1833	16497
70	1865	16527
71	1888	16473
72	1913	16435
73	1940	16419
74	1970	16420
75	1995	16385
76	2018	16329
77	2046	16320
78	2075	16316
79	2100	16281
80	2130	16284
81	2156	16251
82	2186	16251
83	2214	16241
84	2238	16194
85	2263	16162
86	2287	16119
87	2311	16078
88	2336	16037
89	2360	16001
90	2385	15963
91	2412	15942
92	2436	15902
93	2468	15911
94	2493	15876
95	2517	15841
96	2543	15813
97	2568	15780
98	2596	15763
99	2619	15717
100	2641	15663
101	2665	15627
102	2696	15628
103	2725	15621
104	2752	15599
105	2782	15591
106	2810	15574
107	2835	15543
108	2861	15517
109	2890	15502
110	2926	15530
111	2952	15499
112	2976	15462
113	3002	15434
114	3025	15389
115	3051	15363
116	3077	15333
117	3099	15288
118	3123	15249
119	3153	15241
120	3179	15213
121	3207	15194
122	3232	15164
123	3257	15130
124	3279	15086
125	3304	15053
126	3330	15025
127	3356	14998
128	3384	14979
129	3408	14945
130	3433	14915
131	3460	14891
132	3484	14853
133	3507	14815
134	3530	14776
135	3557	14752
136	3583	14727
137	3616	14728
138	3644	14709
139	3672	14691
140	3699	14668
141	3724	14635
142	3746	14591
143	3773	14571
144	3797	14533
145	3826	14518
146	3853	14497
147	3878	14467
148	3907	14449
149	3932	14418
150	3959	14397
151	3984	14366
152	4012	14345
153	4042	14330
154	4066	14299
155	4093	14275
156	4119	14246
157	4143	14212
158	4175	14206
159	4198	14170
160	4223	14141
161	4249	14111
162	4278	14095
163	4302	14062
164	4331	14045
165	4355	14011
166	4382	13986
167	4410	13965
168	4437	13941
169	4461	13908
170	4488	13884
171	4520	13875
172	4555	13877
173	4593	13884
174	4628	13886
175	4671	13908
176	4707	13910
177	4743	13910
178	4768	13878
179	4795	13853
180	4822	13829
181	4848	13800
182	4872	13766
183	4894	13726
184	4921	13699
185	4951	13682
186	4989	13686
187	5022	13678
188	5061	13683
189	5098	13684
190	5140	13698
191	5172	13684
192	5196	13649
193	5221	13618
194	5247	13588
195	5288	13599
196	5322	13589
197	5359	13587
198	5393	13579
199	5429	13574
200	5464	13565
201	5490	13536
202	5515	13502
203	5538	13465
204	5563	13434
205	5599	13426
206	5640	13434
207	5679	13435
208	5721	13441
209	5755	13430
210	5781	13399
211	5810	13375
212	5833	13336
213	5859	13308
214	5886	13277
215	5911	13246
216	5936	13213
217	5961	13181
218	5986	13148
219	6012	13117
220	6041	13093
221	6078	13087
222	6117	13085
223	6154	13078
224	6186	13061
225	6225	13056
226	6258	13039
227	6282	13006
228	6305	12969
229	6331	12938
230	6359	12911
231	6383	12877
232	6410	12847
233	6432	12810
234	6460	12784
235	6496	12773
236	6528	12753
237	6566	12746
238	6605	12740
239	6642	12730
240	6671	12705
241	6698	12677
242	6723	12644
243	6749	12614
244	6776	12585
245	6804	12558
246	6838	12542
247	6872	12524
248	6905	12508
249	6937	12487
250	6967	12463
251	6994	12433
252	7017	12399
253	7044	12369
254	7071	12340
255	7094	12305
256	7123	12279
257	7156	12259
258	7178	12223
259	7206	12195
260	7243	12182
261	7276	12164
262	7312	12150
263	7342	12126
264	7377	12110
265	7408	12088
266	7437	12062
267	7461	12026
268	7484	11991
269	7507	11955
270	7531	11922
271	7558	11894
272	7580	11856
273	7605	11824
274	7631	11793
275	7658	11765
276	7694	11750
277	7729	11733
278	7768	11722
279	7804	11707
280	7837	11687
281	7863	11655
282	7888	11623
283	7913	11592
284	7939	11560
285	7966	11531
286	7996	11506
287	8028	11485
288	8065	11469
289	8105	11459
290	8142	11444
291	8194	11449
292	8225	11426
293	8250	11393
294	8273	11358
295	8300	11329
296	8325	11296
297	8354	11269
298	8377	11235
299	8400	11201
300	8436	11182
301	8471	11164
302	8504	11143
303	8538	11123
304	8572	11101
305	8603	11077
306	8626	11043
307	8649	11008
308	8672	10974
309	8698	10943
310	8723	10911
311	8749	10880
312	8772	10846
313	8796	10813
314	8822	10783
315	8854	10759
316	8887	10738
317	8918	10713
318	8953	10693
319	8986	10671
320	9009	10637
321	9036	10608
322	9062	10577
323	9088	10547
324	9118	10521
325	9144	10491
326	9177	10468
327	9211	10447
328	9247	10427
329	9279	10404
330	9313	10383
331	9350	10364
332	9377	10334
333	9401	10302
334	9425	10269
335	9449	10237
336	9472	10203
337	9497	10172
338	9525	10143
339	9549	10111
340	9580	10086
341	9604	10053
342	9630	10024
343	9658	9995
344	9696	9977
345	9731	9956
346	9771	9940
347	9805	9918
348	9840	9896
349	9867	9867
350	9889	9833
351	9916	9803
352	9940	9771
353	9967	9742
354	9992	9710
355	10021	9683
356	10049	9655
357	10077	9627
358	10110	9603
359	10143	9580
360	10177	9557
361	10202	9526
362	10230	9497
363	10254	9465
364	10289	9443
365	10322	9419
366	10355	9395
367	10388	9371
368	10422	9349
369	10455	9324
370	10481	9295
371	10505	9262
372	10533	9234
373	10559	9203
374	10584	9173
375	10609	9142
376	10634	9111
377	10662	9082
378	10687	9052
379	10711	9020
380	10738	8991
381	10763	8960
382	10787	8928
383	10810	8896
384	10835	8865
385	10864	8837
386	10887	8805
387	10912	8775
388	10939	8745
389	10962	8713
390	10986	8682
391	11011	8652
392	11036	8621
393	11058	8588
394	11081	8556
395	11107	8526
396	11131	8495
397	11154	8463
398	11180	8434
399	11204	8403
400	11229	8373
401	11256	8344
402	11280	8313
403	11306	8284
404	11333	8255
405	11362	8227
406	11388	8198
407	11414	8169
408	11440	8140
409	11469	8112
410	11495	8083
411	11519	8052
412	11547	8024
413	11573	7995
414	11600	7966
415	11624	7935
416	11651	7907
417	11675	7876
418	11700	7846
419	11722	7815
420	11746	7784
421	11768	7752
422	11793	7722
423	11820	7694
424	11845	7664
425	11875	7638
426	11907	7613
427	11938	7587
428	11972	7563
429	12002	7536
430	12035	7511
431	12072	7489
432	12109	7466
433	12145	7444
434	12174	7416
435	12203	7389
436	12227	7359
437	12249	7327
438	12275	7298
439	12300	7268
440	12324	7238
441	12345	7206
442	12370	7176
443	12397	7147
444	12426	7120
445	12453	7092
446	12477	7062
447	12501	7032
448	12525	7002
449	12549	6972
450	12573	6942
451	12600	6913
452	12625	6884
453	12654	6856
454	12680	6828
455	12705	6798
456	12729	6768
457	12752	6738
458	12777	6708
459	12801	6678
460	12826	6649
461	12850	6620
462	12878	6592
463	12905	6563
464	12928	6533
465	12953	6504
466	12979	6475
467	13002	6445
468	13026	6415
469	13053	6387
470	13079	6359
471	13104	6330
472	13128	6300
473	13151	6270
474	13173	6240
475	13197	6210
476	13222	6181
477	13245	6151
478	13269	6122
479	13296	6094
480	13321	6065
481	13348	6037
482	13372	6008
483	13398	5979
484	13424	5951
485	13449	5922
486	13475	5893
487	13504	5866
488	13527	5837
489	13552	5808
490	13577	5779
491	13605	5751
492	13629	5722
493	13656	5694
494	13681	5665
495	13705	5637
496	13734	5609
497	13757	5580
498	13785	5552
499	13810	5524
500	13834	5495
501	13859	5466
502	13886	5438
503	13911	5409
504	13936	5381
505	13966	5354
506	13993	5326
507	14017	5297
508	14046	5270
509	14073	5243
510	14098	5214
511	14124	5186
512	14149	5157
513	14179	5131
514	14203	5102
515	14228	5073
516	14254	5045
517	14282	5018
518	14306	4989
519	14334	4962
520	14360	4933
521	14384	4905
522	14415	4878
523	14441	4850
524	14467	4822
525	14492	4793
526	14520	4766
527	14545	4738
528	14573	4710
529	14599	4682
530	14630	4656
531	14659	4629
532	14688	4602
533	14716	4574
534	14744	4547
535	14770	4519
536	14794	4490
537	14820	4462
538	14851	4436
539	14875	4407
540	14901	4379
541	14927	4351
542	14952	4323
543	14980	4295
544	15004	4267
545	15030	4239
546	15057	4211
547	15082	4183
548	15112	4156
549	15145	4130
550	15176	4104
551	15211	4078
552	15239	4051
553	15278	4026
554	15315	4001
555	15345	3974
556	15377	3948
557	15404	3920
558	15429	3891
559	15453	3863
560	15478	3835
561	15504	3807
562	15528	3778
563	15553	3750
564	15576	3721
565	15601	3693
566	15627	3665
567	15649	3636
568	15674	3608
569	15699	3580
570	15729	3553
571	15755	3525
572	15787	3499
573	15822	3473
574	15853	3446
575	15884	3419
576	15914	3392
577	15946	3365
578	15979	3339
579	16002	3310
580	16032	3283
581	16057	3255
582	16088	3228
